Television	O
News	O
video	O
footage	O
showed	O
the	O
funerals	O
of	O
the	O
six	KILLED
being	O
held	O
at	O
Sadr	O
City	O
,	O
a	O
sprawling	O
Baghdad	O
district	O
and	O
a	O
stronghold	O
of	O
the	O
Mahdi	O
Army	O
,	O
the	O
Shiite	O
militia	O
loyal	O
to	O
radical	O
cleric	O
Muqtada	O
al-Sadr	O
.	O
The	O
funeral	O
processions	O
set	O
off	O
from	O
the	O
local	O
al-Sadr	O
offices	O
in	O
Sadr	O
City	O
.	O
The	O
footage	O
also	O
showed	O
the	O
site	O
where	O
the	O
clashes	O
took	O
place	O
,	O
with	O
several	O
houses	O
and	O
at	O
least	O
one	O
car	O
on	O
a	O
narrow	O
alley	O
damaged	O
,	O
with	O
some	O
walls	O
blackened	O
and	O
air	O
conditioning	O
units	O
burnt	O
.	O
Small	O
pools	O
of	O
blood	O
could	O
be	O
seen	O
on	O
the	O
alley	O
and	O
against	O
the	O
outer	O
walls	O
of	O
the	O
houses	O
.	O
There	O
was	O
no	O
immediate	O
word	O
on	O
Wednesday	O
's	O
clashes	O
from	O
the	O
U.S.	O
military	O
,	O
but	O
American	O
and	O
Iraqi	O
troops	O
have	O
over	O
recent	O
months	O
staged	O
dozens	O
of	O
raids	O
targeting	O
Mahdi	O
Army	O
militiamen	O
in	O
Sadr	O
City	O
and	O
other	O
mainly	O
Shiite	O
districts	O
of	O
Baghdad	O
.	O
At	O
least	O
eight	O
persons	O
were	O
killed	O
and	O
10	INJURED
others	O
were	O
injured	O
during	O
raids	O
by	O
Iraqi	O
and	O
U.S.	O
forces	O
in	O
Sadr	O
City	O
in	O
eastern	O
Baghdad	O
,	O
a	O
police	O
source	O
said	O
on	O
Wednesday	O
.	O
''	O
``	O
Eight	O
people	O
were	O
killed	O
and	O
more	O
than	O
10	INJURED
others	O
were	O
wounded	O
during	O
raids	O
in	O
Sadr	O
City	O
by	O
a	O
joint	O
force	O
of	O
Iraqi	O
and	O
U.S.	O
personnel	O
on	O
Tuesday	O
night	O
lasts	O
several	O
hours	O
,	O
''	O
''	O
the	O
source	O
,	O
who	O
asked	O
not	O
to	O
be	O
named	O
,	O
told	O
the	O
independent	O
news	O
agency	O
Voices	O
of	O
Iraq	O
-LRB-	O
VOI	O
-RRB-	O
.	O
''	O
``	O
The	O
forces	O
,	O
backed	O
by	O
U.S.	O
choppers	O
,	O
raided	O
different	O
parts	O
of	O
Sadr	O
City	O
,	O
where	O
scores	O
of	O
houses	O
and	O
stores	O
were	O
destroyed	O
,	O
''	O
''	O
the	O
source	O
also	O
said	O
.	O
''	O
``	O
The	O
operation	O
witnessed	O
separate	O
attacks	O
by	O
gunmen	O
,	O
but	O
with	O
no	O
certain	O
information	O
on	O
casualties	O
among	O
the	O
forces	O
,	O
''	O
''	O
he	O
added	O
.	O
No	O
word	O
was	O
available	O
from	O
the	O
U.S.	O
army	O
on	O
the	O
incident	O
.	O
Two	O
Iraqi	O
civilians	O
were	O
killed	O
when	O
unidentified	O
armed	O
men	O
shot	O
them	O
in	O
Kirkuk	O
on	O
Wednesday	O
and	O
the	O
son	O
of	O
a	O
clan	O
leader	O
in	O
the	O
city	O
was	O
also	O
kidnapped	O
.	O
A	O
source	O
at	O
the	O
Kirkuk	O
police	O
told	O
the	O
Kuwait	O
News	O
Agency	O
-LRB-	O
KUNA	O
-RRB-	O
that	O
unknown	O
men	O
in	O
a	O
civilian	O
car	O
fired	O
on	O
another	O
car	O
southern	O
of	O
the	O
city	O
where	O
two	KILLED
farmers	O
were	O
seriously	O
injured	O
and	O
soon	O
died	O
.	O
At	O
least	O
one	KILLED
person	O
was	O
killed	O
and	O
two	INJURED
others	O
wounded	O
when	O
missiles	O
landed	O
in	O
the	O
northern	O
Baghdad	O
neighborhood	O
of	O
al-Husseina	O
,	O
an	O
Iraqi	O
police	O
source	O
said	O
on	O
Tuesday	O
.	O
''	O
``	O
Severe	O
damage	O
was	O
caused	O
to	O
houses	O
and	O
stores	O
,	O
''	O
''	O
the	O
source	O
,	O
who	O
spoke	O
on	O
condition	O
of	O
anonymity	O
,	O
told	O
the	O
independent	O
news	O
agency	O
Voices	O
of	O
Iraq	O
-LRB-	O
VOI	O
-RRB-	O
.	O
An	O
Iraqi	O
member	O
of	O
the	O
International	O
Committee	O
of	O
the	O
Red	O
Cross	O
was	O
killed	O
west	O
of	O
Baghdad	O
Saturday	O
,	O
the	O
humanitarian	O
organisation	O
announced	O
in	O
Geneva	O
.	O
The	O
ICRC	O
did	O
not	O
elaborate	O
on	O
the	O
circumstances	O
that	O
led	O
to	O
his	O
death	O
.	O
An	O
Iraqi	O
driver	O
of	O
the	O
international	O
Red	O
Cross	O
was	O
killed	O
near	O
Baghdad	O
,	O
the	O
organization	O
said	O
Saturday	O
.	O
The	O
driver	O
,	O
who	O
was	O
in	O
his	O
40s	O
,	O
disappeared	O
west	O
of	O
Baghdad	O
while	O
on	O
duty	O
Thursday	O
and	O
his	O
body	O
was	O
found	O
Friday	O
,	O
said	O
Annick	O
Bouvier	O
,	O
a	O
spokeswoman	O
for	O
the	O
International	O
Committee	O
of	O
the	O
Red	O
Cross	O
.	O
The	O
circumstances	O
of	O
the	O
slaying	O
were	O
unclear	O
,	O
Bouvier	O
said	O
.	O
''	O
``	O
The	O
victim	O
,	O
who	O
was	O
in	O
his	O
40s	O
,	O
married	O
and	O
had	O
four	O
children	O
,	O
began	O
working	O
for	O
the	O
ICRC	O
as	O
a	O
driver	O
in	O
July	O
2003	O
,	O
''	O
''	O
Bouvier	O
said	O
.	O
The	O
ICRC	O
''	O
``	O
is	O
deeply	O
shocked	O
and	O
dismayed	O
by	O
the	O
death	O
,	O
''	O
''	O
she	O
said	O
.	O
while	O
two	KILLED
civilians	O
died	O
after	O
Katyusha	O
rocket	O
shells	O
landed	O
on	O
their	O
homes	O
in	O
the	O
Saydiya	O
neighborhood	O
of	O
southern	O
Baghdad	O
,	O
police	O
said	O
.	O
Meanwhile	O
,	O
U.S.	O
forces	O
opened	O
fire	O
on	O
a	O
civilian	O
vehicle	O
that	O
approached	O
them	O
near	O
the	O
central	O
city	O
of	O
Samarra	O
on	O
Sunday	O
morning	O
.	O
Iraqi	O
police	O
and	O
many	O
witnesses	O
reported	O
that	O
four	KILLED
people	O
were	O
killed	O
and	O
